WELLID,X,Y
CWF-1A,348367.58,3536428.92
CWF-1B,348367.58,3536428.92
CWF-1C,348367.58,3536428.92
CWF-4A,347579.40,3536409.92
CWF-4B,347579.40,3536409.92
CWF-4C,347579.40,3536409.92
CWF-4D,347579.40,3536409.92
CWF-ID,348367.58,3536428.92
ISC-1D,346675.38,3540970.67
ISC-2D,346546.77,3537716.85
ISC-3D,346056.41,3535578.90
LC-1A,328240.36,3574698.91
LC-1B,328240.36,3574698.91
LC-1C,328240.36,3574698.91
LC-2A,328344.99,3574697.13
LC-2B,328344.99,3574697.13
LC-2C,328344.99,3574697.13
LC-2F,328345.51,3574727.96
LC-3A,330199.73,3574511.72
LC-3B,330199.73,3574511.72
LC-3C,330199.73,3574511.72
LM_N110,338797.89,3527427.04
LM_N112,339449.05,3527047.24
LM_N116,342699.45,3526442.58
LM_N118,340799.44,3525978.98
LM_N120,338138.51,3525620.16
LM_N124,340497.95,3525182.82
LM_N129,341092.51,3524526.80
LM_N137,346605.15,3523467.22
LM_N143,342722.63,3522807.70
LM_N144,327255.14,3522593.82
LM_N148,321460.73,3522138.33
LM_N150,331614.26,3522047.86
LM_N158,323769.38,3520250.27
LM_N45,339311.08,3536690.39
LM_N62,342284.86,3535381.30
LM_N94,312256.19,3530897.24
LM_N97,311723.41,3530506.52
LM_RC103,344306.12,3529251.67
LM_RC104,347073.58,3528902.10
LM_RC105,348361.03,3528882.99
LM_RC107,346195.86,3528206.78
LM_RC108,343251.84,3528189.69
LM_RC111,344971.76,3527208.83
LM_RC115,346513.03,3526569.59
LM_RC117,344585.19,3525982.63
LM_RC122,349229.60,3525389.78
LM_RC123,349255.91,3525389.39
LM_RC126,346013.39,3524683.49
LM_RC132,348557.48,3524383.31
LM_RC133,348636.40,3524382.15
LM_RC139,350699.18,3523397.16
LM_RC14,347491.23,3541062.13
LM_RC153,351611.79,3521043.13
LM_RC19,343672.59,3540257.38
LM_RC22,349046.76,3539745.32
LM_RC24,348308.63,3539540.69
LM_RC28,341816.82,3539084.68
LM_RC32,344306.74,3538800.05
LM_RC37,349153.10,3538049.76
LM_RC39,347576.07,3537949.95
LM_RC40,345632.02,3537886.75
LM_RC43,342996.87,3537279.96
LM_RC44,347562.85,3537056.96
LM_RC46,347687.25,3536593.05
LM_RC47,348159.38,3536555.20
LM_RC58,347101.73,3536078.18
LM_RC61,345463.63,3535425.17
LM_RC63,349165.14,3535308.39
LM_RC65,347690.97,3535083.84
LM_RC68,348159.16,3534768.85
LM_RC69,347239.08,3534720.88
LM_RC7,341486.02,3541461.52
LM_RC71,348332.90,3534088.65
LM_RC72,348411.74,3534087.48
LM_RC73,347570.81,3534069.14
LM_RC75,347859.28,3534034.03
LM_RC76,347176.04,3534013.49
LM_RC80,344304.96,3533502.32
LM_RC84,347974.59,3532954.29
LM_RC87,347261.32,3532687.69
LM_RC88,343241.72,3532686.88
LM_RC89,345575.69,3532405.04
LM_RC9,343900.52,3541424.33
LM_RC93,344036.34,3531381.14
LM_RC96,347675.86,3530525.58
M-1A,332923.31,3565132.47
M-1B,332923.31,3565132.47
M-1C,332923.31,3565132.47
M-2A,333030.07,3565253.92
M-2B,333030.07,3565253.92
M-2C,333030.07,3565253.92
M-3A,334665.03,3565935.62
M-3D,334611.62,3565874.83
M-4A,335647.73,3566782.07
M-4B,335647.73,3566782.07
M-4C,335647.73,3566782.07
MM_N155,322032.21,3559433.77
MM_N166,325144.40,3557531.35
MM_N171,352018.52,3556365.11
MM_N24,334349.88,3578663.08
MM_N35,334737.00,3576746.80
MM_N40,334725.90,3576069.27
MM_N49,335398.95,3575627.09
MM_N87,322090.96,3572026.63
MM_RC102,335083.18,3569101.61
MM_RC103,331390.66,3569039.28
MM_RC104,328950.77,3568741.34
MM_RC112,335757.93,3567119.19
MM_RC113,334474.65,3567109.27
MM_RC114,334474.65,3567109.27
MM_RC116,331381.96,3566944.62
MM_RC121,334456.61,3566000.57
MM_RC130,338026.22,3564864.70
MM_RC131,338051.94,3564833.57
MM_RC133,338773.32,3564082.72
MM_RC136,338825.15,3564051.07
MM_RC138,335208.19,3562291.87
MM_RC143,335202.37,3560320.43
MM_RC150,340590.09,3559679.87
MM_RC16,328603.96,3579159.62
MM_RC162,338685.26,3558539.48
MM_RC174,339032.89,3555669.23
MM_RC179,343973.84,3554791.30
MM_RC190,340253.23,3553247.36
MM_RC191,340253.23,3553247.36
MM_RC193,344749.71,3552376.87
MM_RC199,341594.29,3551809.51
MM_RC20,331188.99,3578900.28
MM_RC200,341946.03,3550818.33
MM_RC202,345013.73,3550771.15
MM_RC208,344071.09,3549153.03
MM_RC209,346436.41,3549152.24
MM_RC211,345329.86,3549133.83
MM_RC215,346436.41,3549152.24
MM_RC216,346436.41,3549152.24
MM_RC220,340753.40,3548341.85
MM_RC225,346249.72,3547518.23
MM_RC231,346881.39,3545907.05
MM_RC233,346647.95,3544339.62
MM_RC234,347041.51,3544333.71
MM_RC244,348938.46,3543073.49
MM_RC245,341457.99,3543032.94
MM_RC246,342925.99,3542917.76
MM_RC31,327349.16,3577671.51
MM_RC32,332968.29,3577361.27
MM_RC34,326314.97,3576857.47
MM_RC38,329994.40,3576301.93
MM_RC44,327036.64,3575580.87
MM_RC46,331945.77,3575653.18
MM_RC5,326061.66,3580373.79
MM_RC60,330200.25,3574542.54
MM_RC7,329901.88,3580123.34
MM_RC71,333477.05,3573317.40
MM_RC8,329169.30,3580105.02
MM_RC86,327306.24,3572096.29
MM_RC9,329168.77,3580074.20
MM_RC90,326592.81,3571708.03
MM_RC91,332794.00,3571572.79
MM_RC98,331513.31,3570115.42
RV_RC107,294124.97,3617212.43
RV_RC109,294065.07,3617174.39
RV_RC116,298231.28,3616635.30
RV_RC120,301439.85,3616420.21
RV_RC126,305281.54,3615971.13
RV_RC127,302352.40,3615474.23
RV_RC130,305774.94,3615290.71
RV_RC134,307258.93,3614834.47
RV_RC140,308101.88,3613543.99
RV_RC142,308139.61,3612623.03
RV_RC148,311615.63,3611173.27
RV_RC152,311849.60,3609066.56
RV_RC27,284407.12,3635281.98
RV_RC3,284030.52,3641957.29
RV_RC33,283954.72,3633730.49
RV_RC44,285495.52,3631121.57
RV_RC58,286384.84,3628161.32
RV_RC6,284310.37,3641673.79
RV_RC70,287116.14,3625866.03
RV_RC74,287642.19,3624867.80
RV_RC87,290945.47,3620945.72
UM_RC10,321650.77,3593358.69
UM_RC15,323160.77,3589419.92
UM_RC16,326919.77,3587690.93
UM_RC17,326918.18,3587598.57
UM_RC18,325804.33,3586662.79
UM_RC22,326559.55,3584986.13
UM_RC5,319421.17,3595062.73
UM_RC9,322122.70,3594244.25
